sub_id,session,run,red_idx,green_idx,value
MET000,2,2,3,5,0.79872416204522623
MET000,2,2,3,6,1.314185846818666
MET000,2,2,3,7,1.2907103753484606
MET000,2,2,3,8,1.3850502202214798
MET000,2,2,3,9,1.6945480204194101
MET000,2,2,4,0,1.825090189457202
MET000,2,2,4,1,1.774069654801377
MET000,2,2,4,2,1.4326256376027804
MET000,2,2,4,3,1.210465185114308
MET000,2,2,4,4,1.3914418512277995
MET000,2,2,4,5,1.090328991337246
MET000,2,2,4,6,0.97143444020949676
MET000,2,2,4,7,1.1281269105340488
MET000,2,2,4,8,1.5743694972249831
MET000,2,2,4,9,1.511983739394982
MET000,2,2,5,0,1.8826060200248369
MET000,2,2,5,1,1.7644039334464088
MET000,2,2,5,2,1.1546976806398768
MET000,2,2,5,3,1.5881928051479093
MET000,2,2,5,4,1.2494123951600622
MET000,2,2,5,5,1.0410310958514293
MET000,2,2,5,6,1.314700382829441
MET000,2,2,5,7,1.2734598266722903
MET000,2,2,5,8,1.0138288855704438
MET000,2,2,5,9,1.5312484947769289
MET000,2,2,6,0,1.8815514027687681
MET000,2,2,6,1,1.7058845367824982
MET000,2,2,6,2,1.5968357957264996
MET000,2,2,6,3,1.4411643373723309
MET000,2,2,6,4,1.1523291412526224
MET000,2,2,6,5,1.3327277084675864
MET000,2,2,6,6,1.5615409416062431
MET000,2,2,6,7,1.4030612606617938
MET000,2,2,6,8,1.4537173968809118
MET000,2,2,6,9,1.4372856472526017
MET000,2,2,7,0,1.938069877923529
MET000,2,2,7,1,1.7636528540550067
MET000,2,2,7,2,1.5324391580779555
MET000,2,2,7,3,1.5846405910998509
MET000,2,2,7,4,1.1520330492987656
MET000,2,2,7,5,1.6658567512922546
MET000,2,2,7,6,1.369092427249329
MET000,2,2,7,7,1.4989144558705489
MET000,2,2,7,8,1.4836690545547606
MET000,2,2,7,9,1.4424349415449995
MET000,2,2,8,0,1.6800735191437297
MET000,2,2,8,1,1.7587573283876614
MET000,2,2,8,2,1.7642068142296154
MET000,2,2,8,3,0.86218852782789002
MET000,2,2,8,4,1.551650274454577
MET000,2,2,8,5,1.4485512638628866
MET000,2,2,8,6,1.4159085249407763
MET000,2,2,8,7,1.2869699503323819
MET000,2,2,8,8,1.5519349542981302
MET000,2,2,8,9,1.2462757217238385
MET000,2,2,9,0,1.7677953259508117
MET000,2,2,9,1,1.9323827928181581
MET000,2,2,9,2,1.5660272259283881
MET000,2,2,9,3,1.7143614670865428
MET000,2,2,9,4,1.4001203190636031
MET000,2,2,9,5,1.5822516986804609
MET000,2,2,9,6,1.414639662352652
MET000,2,2,9,7,1.4208206381628281
MET000,2,2,9,8,1.1199853528304435
MET000,2,2,9,9,1.527265731015675
MET000,2,3,0,0,1.2972054704941915
MET000,2,3,0,1,1.5990522959094806
MET000,2,3,0,2,1.6128446016881619
MET000,2,3,0,3,1.6674772525213382
MET000,2,3,0,4,1.5942570657810671
MET000,2,3,0,5,1.5648556026376397
MET000,2,3,0,6,1.2469199057179161
MET000,2,3,0,7,1.6726888472957866
MET000,2,3,0,8,1.6275015118649456
MET000,2,3,0,9,1.7489327335001239
MET000,2,3,1,0,1.2057923955531276
MET000,2,3,1,1,1.6046159182888715
MET000,2,3,1,2,1.602323674669855
MET000,2,3,1,3,1.5456631608151794
MET000,2,3,1,4,1.6131613900639781
MET000,2,3,1,5,1.4512302344683203
MET000,2,3,1,6,1.6049539773891732
MET000,2,3,1,7,1.7051952218995172
MET000,2,3,1,8,1.4557898630715471
MET000,2,3,1,9,1.4973728139975877
MET000,2,3,2,0,1.858699051202459
MET000,2,3,2,1,1.5351580089533203
MET000,2,3,2,2,1.6431468150145254
MET000,2,3,2,3,1.0186581336630904
MET000,2,3,2,4,1.3380522085500568
MET000,2,3,2,5,1.280520511779301
MET000,2,3,2,6,1.2037478652025515
MET000,2,3,2,7,1.2773501479346103
MET000,2,3,2,8,1.6457292956747089
MET000,2,3,2,9,1.569823405068566
MET000,2,3,3,0,1.8737827022585889
MET000,2,3,3,1,1.6477831324213512
MET000,2,3,3,2,1.2135923833704851
MET000,2,3,3,3,1.5248488261463788
MET000,2,3,3,4,1.1142337085738483
MET000,2,3,3,5,0.79395709052290386
MET000,2,3,3,6,1.2431927286253797
MET000,2,3,3,7,1.3745683092516352
MET000,2,3,3,8,1.4238271783371601
MET000,2,3,3,9,1.4525961895985948
MET000,2,3,4,0,1.5523983394635232
MET000,2,3,4,1,1.7027229022624908
MET000,2,3,4,2,1.4529834857960289
MET000,2,3,4,3,1.3574841022946811
MET000,2,3,4,4,0.96649721978200265
MET000,2,3,4,5,1.0944888180092676
