sub_id,session,run,trial,value
MET015,1,3,3,0.82645797256118014
MET015,1,3,4,0.91862035058165081
MET015,1,4,1,0.75379266327256755
MET015,1,4,2,0.84470794956337492
MET015,1,4,3,1.129420807891321
MET015,1,4,4,0.81324077228324432
MET016,1,1,1,0.79544818853526322
MET016,1,1,2,0.74977853879542522
MET016,1,1,3,0.70035938286878374
MET016,1,1,4,0.66835622056369814
MET016,1,2,1,0.6759562359180018
MET016,1,2,2,0.6618967838480726
MET016,1,2,3,0.62962617768653151
MET016,1,2,4,0.60086199862200573
MET016,1,3,1,0.75243166053552746
MET016,1,3,2,0.71114330845486196
MET016,1,3,3,0.60570574831139445
MET016,1,3,4,0.85898324519261093
MET016,1,4,1,0.63847726361471346
MET016,1,4,2,0.71628167658383046
MET016,1,4,3,0.74657646593981408
MET016,1,4,4,0.66407729510107028
MET016,2,1,1,0.73629607563253086
MET016,2,1,2,0.86045002609006016
MET016,2,1,3,0.75690091164190232
MET016,2,1,4,0.81281722226527242
MET016,2,2,1,0.70040192914121313
MET016,2,2,2,0.64782398550533615
MET016,2,2,3,0.60248391129496615
MET016,2,2,4,0.76282217127918406
MET016,2,3,1,0.66861058867296885
MET016,2,3,2,0.87561437185460622
MET016,2,3,3,0.62864457171097321
MET016,2,3,4,0.75233727765246383
MET016,2,4,1,0.63674285929422314
MET016,2,4,2,0.65094746354811994
MET016,2,4,3,0.68077336481015116
MET016,2,4,4,0.78066826109633292
MET017,1,1,1,0.72177916444765855
MET017,1,1,2,0.65985222472236593
MET017,1,1,3,0.84387342009861133
MET017,1,1,4,0.65704282603763164
MET017,1,2,1,0.61030113184121948
MET017,1,2,2,0.63498707943605237
MET017,1,2,3,0.73481006989718745
MET017,1,2,4,0.6381280749795506
MET017,1,3,1,0.74328880065997893
MET017,1,3,2,0.68857565042106206
MET017,1,3,3,0.64763712816031405
MET017,1,3,4,0.82556305440057087
MET017,1,4,1,0.7096957662104334
MET017,1,4,2,0.64574256382460715
MET017,1,4,3,0.73376671380569081
MET017,1,4,4,0.74157801971812976
MET017,2,1,1,0.68852224418153063
MET017,2,1,2,0.8145467395881375
MET017,2,1,3,0.63581903706892007
MET017,2,1,4,0.70068453183700941
